Dropped Feature,Accuracy Loss
PERSONID,0.00011909008026123047
TDTRPNUM,-0.0006604790687561035
STRTTIME,0.0028963685035705566
ENDTIME,0.008504986763000488
TRVLCMIN,-0.0013805031776428223
TRPMILES,-0.0012884736061096191
TRPTRANS,0.0007741451263427734
TRPACCMP,0.005716919898986816
TRPHHACC,0.0029071569442749023
VEHID,0.011428415775299072
TRWAITTM,0.006350338459014893
NUMTRANS,0.0071190595626831055
TRACCTM,0.0014508962631225586
DROP_PRK,0.0017161369323730469
TREGRTM,0.00569528341293335
WHODROVE,0.004347264766693115
WHYFROM,0.18846875429153442
LOOP_TRIP,0.04874539375305176
TRPHHVEH,0.00043851137161254883
HHMEMDRV,0.003908753395080566
HH_ONTD,0.0032320022583007812
NONHHCNT,-0.0013913512229919434
NUMONTRP,0.0007254481315612793
PSGR_FLG,0.004222750663757324
PUBTRANS,0.0005359649658203125
DWELTIME,0.008846044540405273
TDWKND,-0.00010824203491210938
VMT_MILE,0.001770317554473877
DRVR_FLG,0.012808918952941895
WHYTRP1S,0.004493415355682373
ONTD_P1,0.002641916275024414
ONTD_P2,-0.0004222393035888672
ONTD_P3,0.004872381687164307
ONTD_P4,0.000779569149017334
ONTD_P5,0.0013047456741333008
ONTD_P6,0.001770317554473877
ONTD_P7,0.010573029518127441
ONTD_P8,0.007189452648162842
ONTD_P9,0.012159287929534912
ONTD_P10,0.0021979808807373047
ONTD_P11,0.012965917587280273
ONTD_P12,0.0021167993545532227
ONTD_P13,-0.0015375018119812012
TDCASEID,0.005294620990753174
TRACC_WLK,0.012262165546417236
TRACC_POV,0.0008120536804199219
TRACC_BUS,0.0010448694229125977
TRACC_CRL,0.0043201446533203125
TRACC_SUB,0.020685911178588867
TRACC_OTH,0.0007525086402893066
TREGR_WLK,0.08093011379241943
TREGR_POV,0.004179418087005615
TREGR_BUS,0.01417320966720581
TREGR_CRL,0.005040228366851807
TREGR_SUB,3.248453140258789e-05
TREGR_OTH,-0.0011585354804992676
WHYTO,0.02307337522506714
TRAVDAY,0.009571492671966553
TDAYDATE,0.01586771011352539
LIF_CYC,0.034334003925323486
GASPRICE,0.0058901309967041016
WORKER,0.007200300693511963
DRIVER,0.02206641435623169
WTTRDFIN,-0.0017811059951782227
WHYTRP90,-0.0021546483039855957
TRPMILAD,0.002641916275024414
VEHTYPE,0.014503419399261475
OBHUR,0.004542112350463867
DBHUR,0.03293180465698242
OTHTNRNT,0.0027285218238830566
OTPPOPDN,-0.0006279945373535156
OTRESDN,0.0036272406578063965
OTEEMPDN,0.009750187397003174
OBHTNRNT,0.007324814796447754
OBPPOPDN,0.0008337497711181641
OBRESDN,0.006604790687561035
DTHTNRNT,0.001521289348602295
DTPPOPDN,0.0025877952575683594
DTRESDN,0.005240499973297119
DTEEMPDN,-0.0010069608688354492
DBHTNRNT,0.017870783805847168
DBPPOPDN,0.0002003312110900879
DBRESDN,-0.00010824203491210938
