POI_ID,NAME,LAT,LON
1141833660,Pearl Clinic,9.06058,7.4031
1142403516,Temmy and Eny Partners,9.08109,7.5172
1136370116,Zenith Bank,9.07921,7.4628
1096546327,Develyn Place,9.05166,7.46548
1141833723,Abia State Governor's Lodge,9.03321,7.522
1136370664,Pizzarama Takeaway,9.08396,7.47019
1202896929,Spring Bank,9.02831,7.58253
1141799855,Atlas Micro Finance Bank,9.10155,7.27813
1141790677,Same Global Housing Estate,8.97007,7.43928
1136371150,Nkoyo Restaurant & Bar,9.07927,7.46228
1141806638,Zoeys Restaurant,9.08239,7.49459
1136369622,Ritemed Pharmacy,9.07573,7.47811
1141803854,Glory Plaza,9.07212,7.48443
1144442470,Kingville College,9.09491,7.41471
1048160423,Asd Motor,9.03814,7.48147
1141822234,Vista Garnier,9.0237,7.47596
1141806685,Area Two Shopping Center,9.0359,7.47782
1203121733,Julius Berger Life Camp,9.07831,7.39197
1058644887,Sisters of the Nativity Hospital,8.98568,7.56488
1203197659,Cook,9.02317,7.48443
1141802011,Mosque,9.00727,7.45773
1135252412,First Bank,9.02808,7.5813
1135252413,First Bank,9.02808,7.5813
1141829375,Succor Africa,9.065,7.44123
1144659640,All Saints Nursey and Primary School,9.05939,7.47057
1144660568,Federal Ministries of Environment and Housing,9.08026,7.49281
1048158637,UBA,9.0787,7.49158
1148775691,Redeem Christian Church of God,9.06191,7.40339
1048158661,UBA,9.07286,7.47673
1048167862,Garki A3 Park,9.01895,7.49475
1203121729,Dona Kebab Restaurant,9.07822,7.41419
1083948582,Costbase,9.08049,7.49923
1141788195,Nico,9.06886,7.45017
1017603079,Wuse Guest Inn,9.06962,7.46402
1017601132,Embassy Romanian,9.03719,7.52674
1017594601,N. U. J Motel,9.04111,7.50197
1017592817,Garki Village Market,9.02153,7.48903
1017603647,Cross River,9.10175,7.48955
1017601281,Benue Plaza,9.06507,7.49306
1017601403,Titos Supermarket,9.05503,7.46137
1017593220,Embassy Guinea,9.03635,7.46462
1017605292,Tantalizers,9.03628,7.48035
1017590692,Zamfara State Liaison Office,9.09238,7.48896
1017591731,Molarex,9.05549,7.46303
1017593814,Embassy Switzerland,9.03789,7.5291
1017601780,Ekiti State Liaison Office,9.06154,7.48415
1017590667,Vulcano,9.06857,7.47141
1017589970,Poly Clinic,9.07728,7.47987
1017606354,Benue State Liaison Office,9.05419,7.52765
1017606576,NP,9.04945,7.528
1017602842,School,9.06741,7.47242
1017590826,Garki Hospital,9.03239,7.48396
1017606388,Bio Royal Hospital & Maternity,9.03218,7.47554
1017605423,Abuja Church,9.06679,7.44141
1017598643,Nig. Breweries PLC,9.08092,7.48349
1017598912,Zenith Bank,9.07503,7.49725
1017599353,Park & Shop,9.08376,7.46987
1017606741,Top Rank Hotel,9.0394,7.50566
1017597163,Embassy Argentina,9.04823,7.52052
1017593322,Embassy USA,9.07997,7.51333
1017594233,Shopping Centre,9.07299,7.4761
1017603499,Mangel Plaza,9.04471,7.50231
1017591568,UBA,9.07873,7.45235
1017606574,Rodze,9.06627,7.46466
1017598009,Shop,9.06068,7.46892
1017593826,Broadway,9.02435,7.48821
1017602648,Padam Dam Park,9.059,7.52618
1017598059,Nitel Office,9.06835,7.48887
1017600388,Nwaora Plaza,9.07466,7.47258
1017591567,Smile Dental Practice,9.04398,7.51949
1017604391,N. Y. S. C. Office,9.02721,7.47459
1017604804,PHCN,9.09847,7.49872
1017590597,Blue Restaurant,9.09198,7.47921
1017591434,Monoliza Amusement Park,9.0493,7.504
1017593504,UBA,9.02811,7.47689
1017596404,Shopping Centre,9.07772,7.51222
1017597889,School,9.06236,7.47297
1017602914,Cachez,9.08282,7.46542
1017595485,Syndicate Plaza,9.04144,7.50336
1017592902,Abuja Church,9.07028,7.47447
1017606732,Abuja Church,9.01997,7.48055
1017604374,Agura Hotel,9.0395,7.48783
1017604111,NITEL Office,9.07569,7.47321
1017604786,Zone 6 Neighbourhood Park,9.06653,7.45815
1017597613,Prime Plaza,9.07622,7.48843
