POI_ID,CUISINE_TYPE,NAME,LAT,LON
1136368465,African Food,Mr Bigg's,9.06354,7.47601
1141806640,African Food,Tourist Special Restaurant,9.08253,7.46626
1113284596,African Food,Just Plan B Restaurant,9.14503,7.33824
1113284512,African Food,Eatery,9.14573,7.32372
1113321865,African Food,Taste Today Restaurant,9.06021,7.46267
1113310535,African Food,Xenos Restaurant,9.07245,7.49068
1113276762,International Food,85 Restaurant & Bar,9.07291,7.46799
1113276763,International Food,Da Maria Italian Restaurant,9.07276,7.46855
1113284707,African Food,Green Apple Eatery,9.01425,7.56366
1113284599,Snacks & Beverages,Mr Bigg's,9.14504,7.33813
1113284722,African Food,Village Kitchen,9.01396,7.56375
1113278186,African Food,Checkers Bar & Restaurant,9.03155,7.48186
1113284477,African Food,Capitol Fast Food Restaurant,9.06343,7.45897
1113284719,Burgers,Mr Bigg's,9.01401,7.56373
1083950107,African Food,Drumstix,9.02435,7.48821
1083950106,African Food,Village Kitchen,9.10294,7.40476
1083950100,Snacks & Beverages,Creamy Inn,9.10307,7.40463
1096545775,African Food,Peppersoup Republic,9.0313,7.49504
1096545777,African Food,Big Tray Restaurant,9.03123,7.49497
1142403043,African Food,Cozi Restaurant,9.10385,7.41642
1136370666,African Food,Autolounge Cafe,9.07122,7.48629
1136370583,African Food,Maida A. A. African Restaurant,9.11433,7.41122
1136370659,African Food,The Hut Restaurant,9.08833,7.47492
1136370643,African Food,Charcoal Grill Restaurant & Lounge,9.07354,7.47092
1136370646,African Food,Lazeez Restaurant,9.07878,7.47981
1136370647,African Food,I-Garden Restaurant,9.06807,7.49093
1136370466,African Food,Woks & Koi Restaurant,9.06756,7.48605
1136370641,African Food,Apple B Bees Restaurant,9.07567,7.47221
1136370645,African Food,Woke & Koi Express,9.07882,7.47986
1136370550,African Food,Vegas Restaurant,9.10169,7.40601
1136370650,African Food,Ambience Restaurant,9.07372,7.47573
1136370644,African Food,Charcoal Restaurant,9.07354,7.47092
1136370675,African Food,Shiprah Chinese Cuisine,9.07084,7.48713
1136370661,African Food,Folyn Buka,9.08039,7.48576
1096543251,African Food,Two 4 Seven Restaurant and Bar,9.04126,7.50278
1096543279,Snacks & Beverages,Yahuza Suya Joint,9.03094,7.49386
1141801669,Grill,Obudu Grill,9.06414,7.4834
1096543510,African Food,Dke Foods Restaurant,9.07958,7.41691
1136368053,African Food,Pizza Galleria,9.10327,7.49251
1113284801,African Food,Golden Mother Restaurant,9.07065,7.48233
1113321022,African Food,Andrago Kitchen,9.01385,7.56751
1113276769,International Food,Cheff Sharwama,9.07139,7.48583
1096543603,African Food,Big Bites,9.07231,7.48952
1113284922,African Food,Serendib Restaurant,9.07366,7.47074
1136371006,African Food,Chester Fries Fast Food,9.05423,7.46081
1136371003,African Food,Tulip Restaurant,9.07558,7.46423
1136370999,African Food,Hamiral Bakery,9.07851,7.41504
1113276771,International Food,Salsa Spot,9.0715,7.4855
1113284864,International Food,Sharwama Restaurant,8.98322,7.37528
1141806604,African Food,Favour,9.1501,7.33962
1136370548,African Food,Royal Bliss Bakery,9.10286,7.4049
1141806638,African Food,Zoeys Restaurant,9.08239,7.49459
1136370547,African Food,Royal Bliss Shawarma,9.10281,7.40496
1136368326,African Food,Wazobia Restaurant,9.08492,7.47678
1113321864,Grill,Ciroc Bar & Grill,9.05907,7.46237
1136367686,African Food,Amala Place,9.08767,7.44601
