"LINK_ID","ACCESS_ID","FUNCTIONAL_CLASS","TRAVEL_DIRECTION","PRIVATE","TOLLWAY","FROM_SPEED_LIMIT","TO_SPEED_LIMIT","PUBLIC_ACCESS"
807115447,1023,5,"B","N","N",,,"Y"
1167624523,1023,3,"F","N","N",,,"Y"
807032143,1023,5,"B","N","N",,,"Y"
807187805,1023,5,"B","N","N",,,"Y"
807219748,1023,5,"B","N","N",,,"Y"
807248827,1023,5,"B","N","N",,,"Y"
1184802810,1023,5,"B","N","N",,,"Y"
1152816828,1023,5,"B","N","N",,,"Y"
807118796,1023,5,"B","N","N",,,"Y"
1168223078,1023,5,"B","N","N",,,"Y"
1184910372,1023,5,"B","N","N",,,"Y"
807064098,1023,5,"B","N","N",,,"Y"
1184904879,1023,5,"B","N","N",,,"Y"
1184897111,1023,5,"B","N","N",,,"Y"
1152945574,1023,5,"B","N","N",,,"Y"
807319196,1023,2,"T","N","N",,,"Y"
807099186,1023,5,"B","N","N",,,"Y"
807220887,1023,5,"B","N","N",,,"Y"
1184790156,1023,5,"B","N","N",,,"Y"
1184790112,1023,5,"B","N","N",,,"Y"
1152946483,1023,5,"B","N","N",,,"Y"
1168228333,1023,5,"B","N","N",,,"Y"
1154518096,1023,5,"B","N","N",,,"Y"
1062793532,1023,5,"B","N","N",,,"Y"
1062793321,1023,5,"B","N","N",,,"Y"
1063050947,1023,5,"B","N","N",,,"Y"
1063050803,1023,5,"B","N","N",,,"Y"
1063411334,1023,5,"B","N","N",,,"Y"
1063411434,1023,5,"B","N","N",,,"Y"
1063411400,1023,5,"B","N","N",,,"Y"
1218271517,1023,5,"B","N","N",,,"Y"
812181150,1023,4,"F","N","N",,,"Y"
1211539406,1023,5,"B","N","N",,,"Y"
1211539376,1023,3,"B","N","N",,,"Y"
1184640080,1023,5,"B","N","N",,,"Y"
1112707487,1023,5,"F","N","N",,,"Y"
1111228016,1023,3,"T","N","N",,,"Y"
1152702450,1023,5,"B","N","N",,,"Y"
1152794580,1023,5,"B","N","N",,,"Y"
1154520823,1023,5,"B","N","N",,,"Y"
1154521082,1023,5,"B","N","N",,,"Y"
1154521796,1023,5,"B","N","N",,,"Y"
807058027,1023,5,"B","N","N",,,"Y"
1152810770,1023,5,"B","N","N",,,"Y"
1217421702,1023,5,"B","N","N",,,"Y"
1154804302,1023,5,"B","N","N",,,"Y"
1063550462,1023,5,"B","N","N",,,"Y"
1063550444,1023,5,"B","N","N",,,"Y"
1063550343,1023,5,"B","N","N",,,"Y"
1063334142,1023,5,"B","N","N",,,"Y"
807111656,1023,5,"B","N","N",,,"Y"
1154514998,1023,5,"B","N","N",,,"Y"
1152805541,1023,5,"B","N","N",,,"Y"
1154831064,1023,5,"B","N","N",,,"Y"
1218198300,1023,5,"B","N","N",,,"Y"
1218198263,1023,5,"B","N","N",,,"Y"
1152801584,1023,5,"B","N","N",,,"Y"
1167428001,1023,5,"B","N","N",,,"Y"
1152597502,1023,5,"B","N","N",,,"Y"
807049923,1023,5,"B","N","N",,,"Y"
1154471525,1023,5,"B","N","N",,,"Y"
1211611739,1023,5,"F","N","N",,,"Y"
1152775382,1023,5,"B","N","N",,,"Y"
1063667691,1023,5,"F","N","N",,,"Y"
1152801211,1023,5,"B","N","N",,,"Y"
1152801112,1023,5,"T","N","N",,,"Y"
1152820188,1023,5,"B","N","N",,,"Y"
1063027721,1023,5,"B","N","N",,,"Y"
1063027796,1023,5,"B","N","N",,,"Y"
1104228499,1023,1,"T","N","N",,,"Y"
1104228502,1023,1,"F","N","N",,,"Y"
1184796172,1023,5,"B","N","N",,,"Y"
1184792886,1023,5,"B","N","N",,,"Y"
1184793101,1023,5,"B","N","N",,,"Y"
1184796904,1023,5,"B","N","N",,,"Y"
1184793473,1023,5,"B","N","N",,,"Y"
1184793459,1023,5,"B","N","N",,,"Y"
1184793632,1023,5,"B","N","N",,,"Y"
1184794671,1023,5,"B","N","N",,,"Y"
1184794996,1023,5,"B","N","N",,,"Y"
1184800353,1023,5,"B","N","N",,,"Y"
1184800035,1023,5,"B","N","N",,,"Y"
1184800549,1023,5,"B","N","N",,,"Y"
