POI_ID,NAME,LAT,LON
1137617935,Autohaus Peter Förster,48.9937,8.37216
1031201261,Evangel. Kindergarten Basler Tor,48.99728,8.46979
1119234313,Ungeheuer Automobile GmbH,48.99683,8.43761
1137617936,Autohaus Peter Förster,48.9937,8.37216
1111595829,KunstWerk Karlsruhe,48.99649,8.464
1131727368,Bulacher Sport Club,48.98094,8.37804
1141454165,Auto-Service Eibl,48.99403,8.37179
1131747508,Kleingartenanlage Petergraben,48.98541,8.38094
50614512,Golfclub Hofgut Scheibenhardt,48.97626,8.37511
1166357607,Ebertstraße,48.99447,8.39533
1039325429,Sonnenblume Naturkost,48.9987,8.47042
898522773,Markgrafen Gymnasium,48.99849,8.47767
898522716,Oberwald Hauptschule,48.99173,8.45532
1161808447,Wintec Autoglas Budek,48.99998,8.4786
1112513571,Finanzamt Karlsruhe-Durlach,48.99766,8.47381
1148206679,junited AUTOGLAS Karlsruhe,48.99569,8.4499
1178908123,Agip,48.99614,8.45291
1175712354,Friedenskirche,48.99888,8.46677
1139159586,Shell-Bargeldservice,49.00182,8.48206
1165531519,Sparkasse Karlsruhe Ettlingen,48.99877,8.4649
1112145152,Mosch Blumen,49.00238,8.48299
888611106,AHZ Automobil Handels Zentrum GmbH,48.99698,8.43957
1203230508,LEXUS Service Karlsruhe,48.99698,8.43957
1163976881,LEXUS Service Karlsruhe,48.99698,8.43957
1131726157,Friedhof Oberreut,48.98939,8.36968
57568607,Das Scheibenhardt,48.9759,8.37378
1136323530,Eisbär Apotheke Durlach,48.99829,8.46386
50609436,Im Weiherwald,48.98174,8.38833
1131726160,TC Grünwinkel,48.99106,8.36979
50611338,Günther-Klotz-Anlage,49.00278,8.37116
57568150,Sankt-Vincentius-Kliniken II-Notaufnahme,48.99974,8.37944
50612481,Sankt-Vincentius-Kliniken II,48.99974,8.37944
1039823164,St. Michael,48.99426,8.39006
1174515920,Fächerrad,48.99882,8.38609
1058540852,Reinhold Thumulka Zahnarztpraxis,48.99449,8.39449
1202719391,Gewerbegebiet Unterweingartenfeld,48.9912,8.37186
1131752853,Esso,48.99069,8.37185
1126266703,Sparkasse Karlsruhe Ettlingen,49.00349,8.38165
1126266704,Sparkasse Karlsruhe Ettlingen,49.00349,8.38165
1005153891,Europahalle,48.99707,8.37751
50613804,Europahalle,48.99707,8.37751
1178852004,Dr. med. Wolf-Peter Ringlage,49.00371,8.37273
1178869673,Dr. med. Ursula Ringlage,49.00371,8.37273
1005220932,Wigwam e.V. Freie Kindertagesstätte,48.9989,8.38182
1058556685,Dr. med. dent. Ernst Bertram,49.00591,8.37714
1104074258,Mrs. Sporty,49.00825,8.38156
1178850972,Dr. med. Hans-Joachim Jonderko,48.99035,8.38437
1131727372,Friedhof Beiertheim,48.99394,8.38633
1110490848,Sparkasse Karlsruhe Ettlingen,48.9888,8.3826
1110490847,Sparkasse Karlsruhe Ettlingen,48.9888,8.3826
1161857570,Bahnhof-Apotheke Durlach,48.99985,8.46519
1204832949,Dr. med. Joachim Aspacher,48.99801,8.45849
1204820472,Dr. med. Joachim Wawer-Matos,48.99801,8.45849
1193046833,Zum Auer Hof,48.994,8.46255
1108686987,Friseursalon Bodo,48.99381,8.46243
57558767,Turmberg-Stadion,49.00229,8.4786
1108688145,Schlenker Hair-Design,49.00149,8.47145
57566311,Blumentor,49.00098,8.4744
1017890123,BBBank,48.99982,8.47616
1017890124,BBBank,48.99982,8.47616
1192311668,Daniel Kattermann Personal Training,49.00055,8.45625
1058556692,Zahnarztpraxis Ma Pfistner,48.99873,8.47455
801780853,Turmberg-Apotheke Durlach,48.99971,8.4759
1039880308,dm,48.99772,8.45852
1039782016,Nah und Gut Götz,48.99393,8.45897
1204537642,As-Fenstermann,49.0036,8.46927
1131737511,Polizeisportverein Karlsruhe,48.99421,8.43062
1148753242,Pneuhage Reifendienste,48.99396,8.44909
1070091401,Stadtbahn Untermühlstraße,49.00216,8.45387
1126225407,KUBUS,48.99695,8.46454
1039286590,CAP Markt Karlsruhe-Durlach,48.99925,8.47094
1023843402,Volksbank Karlsruhe Filiale Durlach-Marktplatz,48.99923,8.47159
1108686631,Haarkultur,48.99923,8.47159
1202686637,Rathaus Durlach,48.9992,8.47095
1178887210,Atiya Aras,48.99923,8.47159
801780857,Markgrafen-Apotheke,48.99925,8.47075
1024643332,Volksbank Karlsruhe eG Filiale Durlach-Marktplatz,48.99923,8.4716
51774479,Rathaus Durlach,48.99921,8.47096
51774480,Rathaus Durlach,48.99921,8.47096
1165846567,Evangelische Stadtkirche,48.99919,8.47139
1178879784,Dr. med. Bernd Wagner,48.99925,8.47074
1131737507,Sportschule Schöneck,48.99743,8.4872
1204537881,Badischer Fußballverband e.V.,48.99742,8.48718
1204534777,Badischer Fußballverband Ev.,48.99742,8.48718
1204534777,Bad. Fußballverband e.V. Gut,48.99742,8.48718
1204534777,Badischer Fußballverband e.V.,48.99742,8.48718
1058541555,Zahnarztpraxis Andreas Heimann,48.99845,8.47771
1039893321,Schule am Turmberg,49.00069,8.4825
1135445667,Autohaus Brenk GmbH,48.99652,8.44542
1135445668,Autohaus Brenk GmbH,48.99652,8.44542
1164825535,Hermes PaketShop,48.99246,8.46086
1202823223,Kiesel Süd GmbH Karlsruhe,48.99676,8.43721
1110490902,Sparkasse Karlsruhe Ettlingen,48.99288,8.46118
1110490901,Sparkasse Karlsruhe Ettlingen,48.99288,8.46118
1039266236,Bäckerei-Konditorei Rolf Weber,48.99198,8.46038
50611077,Ungeheuer Automobile GmbH,48.99683,8.43761
57562431,Ungeheuer Automobile GmbH,48.99683,8.43761
1131737506,Turmbergbad,49.00436,8.48009
50612140,Turmbergbad,49.0045,8.48003
1039212964,Zum Rappen,48.9995,8.47267
