,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,predicted_Class
0,1400,1500,60,3,0.0,10,0.0,5,3,2,1
1,1400,1500,60,3,0.0,10,0.0,5,3,2,1
2,1400,1500,60,3,0.0,10,0.0,5,3,2,1
3,1400,1500,60,2,3.0,10,3.0,4,1,2,1
4,1400,1500,60,2,3.0,10,3.0,4,1,2,1
5,1400,1500,60,1,3.0,8,3.0,4,4,2,2
6,1400,1500,60,13,3.0,10,3.0,2,1,1,1
7,1400,1500,60,13,3.0,10,3.0,2,1,1,1
8,1400,1500,60,13,3.0,10,3.0,2,1,1,1
9,1400,1500,60,13,3.0,10,3.0,2,1,1,1
10,1400,1500,60,13,3.0,10,3.0,2,1,1,1
11,1400,1500,60,13,3.0,10,3.0,2,1,1,1
12,1400,1500,60,13,3.0,10,3.0,2,1,1,1
13,1400,1500,60,13,3.0,10,3.0,2,1,1,1
14,1400,1500,60,13,3.0,10,3.0,2,1,1,1
15,1400,1500,60,13,3.0,10,3.0,2,1,1,1
16,1400,1500,60,13,3.0,10,3.0,2,1,1,1
17,1400,1500,60,13,3.0,10,3.0,2,1,1,1
18,1400,1500,60,13,3.0,10,3.0,2,1,1,1
19,1400,1500,60,3,1.0,2,0.0,2,1,1,1
20,1400,1500,60,3,1.0,2,0.0,2,1,1,1
21,1400,1500,60,3,1.0,2,0.0,2,1,1,1
22,1400,1500,60,1,3.0,5,3.0,2,1,2,1
23,1400,1500,60,1,1.0,10,3.0,4,2,2,2
24,1400,1500,60,3,3.0,2,1.0,2,1,2,1
25,1400,1500,60,3,3.0,2,1.0,2,1,2,1
26,1400,1500,60,3,3.0,2,1.0,2,1,2,1
27,1400,1500,60,7,3.0,6,2.0,2,1,2,1
28,1400,1500,60,7,3.0,6,2.0,2,1,2,1
29,1400,1500,60,7,3.0,6,2.0,2,1,2,1
30,1400,1500,60,7,3.0,6,2.0,2,1,2,1
31,1400,1500,60,7,3.0,6,2.0,2,1,2,1
32,1400,1500,60,7,3.0,6,2.0,2,1,2,1
33,1400,1500,60,7,3.0,6,2.0,2,1,2,1
