,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,predicted_Class
0,1700,1800,60,3,0.0,10,0.0,5,3,2,1
1,1700,1800,60,3,0.0,10,0.0,5,3,2,1
2,1700,1800,60,3,0.0,10,0.0,5,3,2,1
3,1700,1800,60,2,3.0,10,3.0,4,1,2,1
4,1700,1800,60,2,3.0,10,3.0,4,1,2,1
5,1700,1800,60,1,3.0,8,3.0,4,4,2,1
6,1700,1800,60,13,3.0,10,3.0,2,1,1,1
7,1700,1800,60,13,3.0,10,3.0,2,1,1,1
8,1700,1800,60,13,3.0,10,3.0,2,1,1,1
9,1700,1800,60,13,3.0,10,3.0,2,1,1,1
10,1700,1800,60,13,3.0,10,3.0,2,1,1,1
11,1700,1800,60,13,3.0,10,3.0,2,1,1,1
12,1700,1800,60,13,3.0,10,3.0,2,1,1,1
13,1700,1800,60,13,3.0,10,3.0,2,1,1,1
14,1700,1800,60,13,3.0,10,3.0,2,1,1,1
15,1700,1800,60,13,3.0,10,3.0,2,1,1,1
16,1700,1800,60,13,3.0,10,3.0,2,1,1,1
17,1700,1800,60,13,3.0,10,3.0,2,1,1,1
18,1700,1800,60,13,3.0,10,3.0,2,1,1,1
19,1700,1800,60,3,1.0,2,0.0,2,1,1,1
20,1700,1800,60,3,1.0,2,0.0,2,1,1,1
21,1700,1800,60,3,1.0,2,0.0,2,1,1,1
22,1700,1800,60,1,3.0,5,3.0,2,1,2,1
23,1700,1800,60,1,1.0,10,3.0,4,2,2,1
24,1700,1800,60,3,3.0,2,1.0,2,1,2,1
25,1700,1800,60,3,3.0,2,1.0,2,1,2,1
26,1700,1800,60,3,3.0,2,1.0,2,1,2,1
27,1700,1800,60,7,3.0,6,2.0,2,1,2,1
28,1700,1800,60,7,3.0,6,2.0,2,1,2,1
29,1700,1800,60,7,3.0,6,2.0,2,1,2,1
30,1700,1800,60,7,3.0,6,2.0,2,1,2,1
31,1700,1800,60,7,3.0,6,2.0,2,1,2,1
