,Unnamed: 0,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
4166,4166,2017000000496,600,700,60,1,3.0,10,1.0,4,3,2,9.07222,7.45426,2
7745,7745,2017000000954,600,700,60,1,3.0,6,1.0,5,3,1,9.06694,7.44349,2
6046,6046,2017000002261,600,700,60,2,2.0,8,0.0,4,2,1,9.06535,7.3671,2
6047,6047,2017000002261,600,700,60,2,2.0,8,0.0,4,2,1,9.06536,7.3671,2
4799,4799,2017000002716,600,700,60,2,3.0,8,2.0,2,1,1,9.11745,7.45528,3
4798,4798,2017000002716,600,700,60,2,3.0,8,2.0,2,1,1,9.11744,7.45528,3
1662,1662,2017000003442,600,700,60,4,2.0,8,1.0,3,2,1,8.94911,7.26208,2
1664,1664,2017000003442,600,700,60,4,2.0,8,1.0,3,2,1,8.94911,7.26208,2
1663,1663,2017000003442,600,700,60,4,2.0,8,1.0,3,2,1,8.9491,7.26208,2
1661,1661,2017000003442,600,700,60,4,2.0,8,1.0,3,2,1,8.9491,7.26208,2
4022,4022,2017000006164,600,700,60,1,3.0,6,1.0,4,2,2,9.07551,7.48167,2
3853,3853,2017000007407,600,700,60,2,3.0,9,2.0,4,4,1,9.07946,7.50027,2
3854,3854,2017000007407,600,700,60,2,3.0,9,2.0,4,4,1,9.07947,7.50027,2
9323,9323,2017000007825,600,700,60,1,1.0,4,0.0,5,2,2,9.08068,7.44793,6
7153,7153,2017000008274,600,700,60,1,2.0,5,1.0,5,2,1,9.07175,7.40296,2
3872,3872,2017000009705,600,700,60,2,3.0,7,3.0,2,1,1,9.10244,7.48662,2
3873,3873,2017000009705,600,700,60,2,3.0,7,3.0,2,1,1,9.10245,7.48662,2
3757,3757,2017000010614,600,700,60,2,2.0,6,2.0,3,3,1,9.07112,7.40147,2
3758,3758,2017000010614,600,700,60,2,2.0,6,2.0,3,3,1,9.07113,7.40147,2
8129,8129,2017000012735,600,700,60,1,2.0,4,0.0,5,2,1,9.03496,7.52302,6
5831,5831,2017000013076,600,700,60,2,2.0,7,2.0,4,3,1,9.02981,7.5787,2
5830,5830,2017000013076,600,700,60,2,2.0,7,2.0,4,3,1,9.0298,7.5787,2
7139,7139,2017000013654,600,700,60,1,2.0,4,0.0,5,2,1,9.01576,7.55802,6
4745,4745,2017000014114,600,700,60,1,2.0,5,0.0,4,2,2,9.08898,7.47854,2
3252,3252,2017000014315,600,700,60,1,3.0,6,2.0,2,1,2,9.07175,7.40296,2
5734,5734,2017000017938,600,700,60,1,1.0,4,1.0,5,4,1,9.07654,7.44328,2
3530,3530,2017000018745,600,700,60,2,3.0,6,3.0,4,3,2,9.00287,7.56016,2
3529,3529,2017000018745,600,700,60,2,3.0,6,3.0,4,3,2,9.00286,7.56016,2
9382,9382,2017000020709,600,700,60,1,1.0,5,0.0,5,3,2,9.09947,7.40427,6
4788,4788,2017000021778,600,700,60,1,3.0,8,2.0,3,4,2,9.00125,7.45439,2
6460,6460,2017000023137,600,700,60,1,3.0,7,2.0,5,1,1,9.08714,7.47733,2
7002,7002,2017000024239,600,700,60,1,2.0,6,0.0,5,4,1,9.00286,7.56016,6
2825,2825,2017000025181,600,700,60,1,2.0,6,1.0,4,2,1,9.07239,7.49055,2
2852,2852,2017000026704,600,700,60,2,1.0,6,2.0,4,3,2,9.01602,7.4803,2
2853,2853,2017000026704,600,700,60,2,1.0,6,2.0,4,3,2,9.01603,7.4803,2
8109,8109,2017000027188,600,700,60,1,2.0,6,1.0,5,2,2,9.07576,7.43018,2
8221,8221,2017000028397,600,700,60,2,2.0,9,2.0,5,2,2,9.0467,7.49441,2
8222,8222,2017000028397,600,700,60,2,2.0,9,2.0,5,2,2,9.04671,7.49441,2
7419,7419,2017000031334,600,700,60,1,3.0,7,0.0,4,2,1,9.06604,7.3959,2
