,Unnamed: 0,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
4166,4166,2017000000496,1200,1300,60,1,3.0,10,1.0,4,3,2,9.07851,7.47445,6
7745,7745,2017000000954,1200,1300,60,1,3.0,6,1.0,5,3,1,9.1422,7.36924,2
4022,4022,2017000006164,1200,1300,60,1,3.0,6,1.0,4,2,2,9.03328,7.49891,5
3853,3853,2017000007407,1200,1300,60,2,3.0,9,2.0,4,4,1,9.1422,7.36924,2
3854,3854,2017000007407,1200,1300,60,2,3.0,9,2.0,4,4,1,9.1422,7.36924,2
9323,9323,2017000007825,1200,1300,60,1,1.0,4,0.0,5,2,2,9.03328,7.49891,5
3872,3872,2017000009705,1200,1300,60,2,3.0,7,3.0,2,1,1,9.1422,7.36924,2
3873,3873,2017000009705,1200,1300,60,2,3.0,7,3.0,2,1,1,9.1422,7.36924,2
3758,3758,2017000010614,1200,1300,60,2,2.0,6,2.0,3,3,1,9.1422,7.36924,2
3757,3757,2017000010614,1200,1300,60,2,2.0,6,2.0,3,3,1,9.1422,7.36924,2
5831,5831,2017000013076,1200,1300,60,2,2.0,7,2.0,4,3,1,9.1422,7.36924,2
5830,5830,2017000013076,1200,1300,60,2,2.0,7,2.0,4,3,1,9.1422,7.36924,2
4745,4745,2017000014114,1200,1300,60,1,2.0,5,0.0,4,2,2,9.03328,7.49891,5
3529,3529,2017000018745,1200,1300,60,2,3.0,6,3.0,4,3,2,9.1422,7.36924,2
3530,3530,2017000018745,1200,1300,60,2,3.0,6,3.0,4,3,2,9.1422,7.36924,2
9382,9382,2017000020709,1200,1300,60,1,1.0,5,0.0,5,3,2,9.03328,7.49891,5
4788,4788,2017000021778,1200,1300,60,1,3.0,8,2.0,3,4,2,9.1422,7.36924,2
6460,6460,2017000023137,1200,1300,60,1,3.0,7,2.0,5,1,1,9.1422,7.36924,2
2825,2825,2017000025181,1200,1300,60,1,2.0,6,1.0,4,2,1,9.1422,7.36924,2
7188,7188,2017000031382,1200,1300,60,1,2.0,5,2.0,3,4,2,9.1422,7.36924,2
7760,7760,2017000033645,1200,1300,60,1,3.0,8,2.0,5,4,2,9.1422,7.36924,2
7100,7100,2017000034464,1200,1300,60,2,2.0,7,0.0,4,3,2,9.07851,7.47445,6
