,Unnamed: 0,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
7745,7745,2017000000954,1300,1400,60,1,3.0,6,1.0,5,3,1,9.1422,7.36924,2
3854,3854,2017000007407,1300,1400,60,2,3.0,9,2.0,4,4,1,9.1422,7.36924,2
3853,3853,2017000007407,1300,1400,60,2,3.0,9,2.0,4,4,1,9.1422,7.36924,2
3873,3873,2017000009705,1300,1400,60,2,3.0,7,3.0,2,1,1,9.1422,7.36924,2
3872,3872,2017000009705,1300,1400,60,2,3.0,7,3.0,2,1,1,9.1422,7.36924,2
3758,3758,2017000010614,1300,1400,60,2,2.0,6,2.0,3,3,1,9.1422,7.36924,2
3757,3757,2017000010614,1300,1400,60,2,2.0,6,2.0,3,3,1,9.1422,7.36924,2
5831,5831,2017000013076,1300,1400,60,2,2.0,7,2.0,4,3,1,9.1422,7.36924,2
5830,5830,2017000013076,1300,1400,60,2,2.0,7,2.0,4,3,1,9.1422,7.36924,2
3530,3530,2017000018745,1300,1400,60,2,3.0,6,3.0,4,3,2,9.1422,7.36924,2
3529,3529,2017000018745,1300,1400,60,2,3.0,6,3.0,4,3,2,9.1422,7.36924,2
4788,4788,2017000021778,1300,1400,60,1,3.0,8,2.0,3,4,2,9.1422,7.36924,2
6460,6460,2017000023137,1300,1400,60,1,3.0,7,2.0,5,1,1,9.1422,7.36924,2
2825,2825,2017000025181,1300,1400,60,1,2.0,6,1.0,4,2,1,9.1422,7.36924,2
7188,7188,2017000031382,1300,1400,60,1,2.0,5,2.0,3,4,2,9.1422,7.36924,2
7760,7760,2017000033645,1300,1400,60,1,3.0,8,2.0,5,4,2,9.1422,7.36924,2
3222,3222,2017000040462,1300,1400,60,2,2.0,6,3.0,2,1,1,9.1422,7.36924,2
3223,3223,2017000040462,1300,1400,60,2,2.0,6,3.0,2,1,1,9.1422,7.36924,2
2512,2512,2017000045909,1300,1400,60,1,2.0,7,2.0,4,4,2,9.1422,7.36924,2
2211,2211,2017000049084,1300,1400,60,1,3.0,7,2.0,4,3,2,9.1422,7.36924,2
7754,7754,2017000056451,1300,1400,60,1,2.0,5,1.0,4,3,1,9.1422,7.36924,2
7749,7749,2017000063503,1300,1400,60,1,2.0,6,2.0,4,3,1,9.1422,7.36924,2
4622,4622,2017000065925,1300,1400,60,1,3.0,6,3.0,2,1,1,9.1422,7.36924,2
2964,2964,2017000068209,1300,1400,60,1,2.0,6,2.0,4,2,1,9.1422,7.36924,2
5124,5124,2017000069439,1300,1400,60,1,3.0,5,2.0,4,4,1,9.1422,7.36924,2
4665,4665,2017000073728,1300,1400,60,1,3.0,7,3.0,4,3,2,9.1422,7.36924,2
2931,2931,2017000078387,1300,1400,60,1,3.0,6,2.0,2,1,1,9.1422,7.36924,2
7671,7671,2017000082350,1300,1400,60,1,2.0,4,2.0,4,2,1,9.1422,7.36924,2
6674,6674,2017000084284,1300,1400,60,1,2.0,8,1.0,5,3,1,9.1422,7.36924,2
5949,5949,2017000086066,1300,1400,60,1,3.0,9,2.0,4,3,2,9.1422,7.36924,2
