,Unnamed: 0,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
4166,4166,2017000000496,700,800,60,1,3.0,10,1.0,4,3,2,9.07222,7.45426,2
7745,7745,2017000000954,700,800,60,1,3.0,6,1.0,5,3,1,9.06694,7.44349,2
6047,6047,2017000002261,700,800,60,2,2.0,8,0.0,4,2,1,9.06536,7.3671,6
6046,6046,2017000002261,700,800,60,2,2.0,8,0.0,4,2,1,9.06535,7.3671,6
4798,4798,2017000002716,700,800,60,2,3.0,8,2.0,2,1,1,9.11744,7.45528,3
4799,4799,2017000002716,700,800,60,2,3.0,8,2.0,2,1,1,9.11745,7.45528,3
1661,1661,2017000003442,700,800,60,4,2.0,8,1.0,3,2,1,8.9491,7.26208,3
1662,1662,2017000003442,700,800,60,4,2.0,8,1.0,3,2,1,8.94911,7.26208,3
1663,1663,2017000003442,700,800,60,4,2.0,8,1.0,3,2,1,8.9491,7.26208,3
1664,1664,2017000003442,700,800,60,4,2.0,8,1.0,3,2,1,8.94911,7.26208,3
4022,4022,2017000006164,700,800,60,1,3.0,6,1.0,4,2,2,9.07551,7.48167,2
3854,3854,2017000007407,700,800,60,2,3.0,9,2.0,4,4,1,9.07947,7.50027,2
3853,3853,2017000007407,700,800,60,2,3.0,9,2.0,4,4,1,9.07946,7.50027,2
9323,9323,2017000007825,700,800,60,1,1.0,4,0.0,5,2,2,9.08068,7.44793,4
7153,7153,2017000008274,700,800,60,1,2.0,5,1.0,5,2,1,9.07175,7.40296,2
3872,3872,2017000009705,700,800,60,2,3.0,7,3.0,2,1,1,9.10244,7.48662,2
3873,3873,2017000009705,700,800,60,2,3.0,7,3.0,2,1,1,9.10245,7.48662,2
3757,3757,2017000010614,700,800,60,2,2.0,6,2.0,3,3,1,9.07112,7.40147,2
3758,3758,2017000010614,700,800,60,2,2.0,6,2.0,3,3,1,9.07113,7.40147,2
8129,8129,2017000012735,700,800,60,1,2.0,4,0.0,5,2,1,9.03496,7.52302,5
5830,5830,2017000013076,700,800,60,2,2.0,7,2.0,4,3,1,9.0298,7.5787,2
5831,5831,2017000013076,700,800,60,2,2.0,7,2.0,4,3,1,9.02981,7.5787,2
7139,7139,2017000013654,700,800,60,1,2.0,4,0.0,5,2,1,9.01576,7.55802,5
