,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
0,2020HU0853695,1100,1200,60,3,0.0,10,0.0,5,3,2,9.14997,7.35501,6
1,2020HU0853695,1100,1200,60,3,0.0,10,0.0,5,3,2,9.14998,7.35501,6
2,2020HU0853695,1100,1200,60,3,0.0,10,0.0,5,3,2,9.14997,7.35501,6
3,2018HU0270440,1100,1200,60,2,3.0,10,3.0,4,1,2,9.04468,7.47364,2
4,2018HU0270440,1100,1200,60,2,3.0,10,3.0,4,1,2,9.04469,7.47364,2
5,2019HU0849555,1100,1200,60,1,3.0,8,3.0,4,4,2,9.0914,7.49876,2
6,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,1
7,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,1
8,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,1
9,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,1
10,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,1
11,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,1
12,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,1
13,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,1
14,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,1
15,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,1
16,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,1
17,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,1
18,2021HU1200690,1100,1200,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,1
19,2021HU0273780,1100,1200,60,3,1.0,2,0.0,2,1,1,9.07494,7.39688,1
20,2021HU0273780,1100,1200,60,3,1.0,2,0.0,2,1,1,9.07495,7.39688,1
21,2021HU0273780,1100,1200,60,3,1.0,2,0.0,2,1,1,9.07494,7.39688,1
22,2020HU0628820,1100,1200,60,1,3.0,5,3.0,2,1,2,9.08138,7.48416,2
23,2017000247487,1100,1200,60,1,1.0,10,3.0,4,2,2,9.05983,7.50052,2
24,2018HU0278218,1100,1200,60,3,3.0,2,1.0,2,1,2,9.11721,7.40618,6
25,2018HU0278218,1100,1200,60,3,3.0,2,1.0,2,1,2,9.11722,7.40618,6
26,2018HU0278218,1100,1200,60,3,3.0,2,1.0,2,1,2,9.11721,7.40618,6
27,2017000738034,1100,1200,60,7,3.0,6,2.0,2,1,2,9.00739,7.47,1
28,2017000738034,1100,1200,60,7,3.0,6,2.0,2,1,2,9.007399999999999,7.47,1
29,2017000738034,1100,1200,60,7,3.0,6,2.0,2,1,2,9.00739,7.47,1
30,2017000738034,1100,1200,60,7,3.0,6,2.0,2,1,2,9.007399999999999,7.47,1
31,2017000738034,1100,1200,60,7,3.0,6,2.0,2,1,2,9.00739,7.47,1
32,2017000738034,1100,1200,60,7,3.0,6,2.0,2,1,2,9.007399999999999,7.47,1
33,2017000738034,1100,1200,60,7,3.0,6,2.0,2,1,2,9.00739,7.47,1
34,2019HU0071859,1100,1200,60,2,2.0,8,3.0,4,2,2,8.98591,7.44547,2
35,2019HU0071859,1100,1200,60,2,2.0,8,3.0,4,2,2,8.98592,7.44547,2
36,2021HU0983782,1100,1200,60,1,1.0,7,3.0,4,2,2,9.07789,7.47146,2
37,2021HU0343140,1100,1200,60,15,2.0,6,2.0,2,1,2,9.0568,7.46549,1
38,2021HU0343140,1100,1200,60,15,2.0,6,2.0,2,1,2,9.05681,7.46549,1
