,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,predicted_Class
0,1500,1600,60,3,0.0,10,0.0,5,3,2,1
1,1500,1600,60,3,0.0,10,0.0,5,3,2,1
2,1500,1600,60,3,0.0,10,0.0,5,3,2,1
3,1500,1600,60,2,3.0,10,3.0,4,1,2,1
4,1500,1600,60,2,3.0,10,3.0,4,1,2,1
5,1500,1600,60,1,3.0,8,3.0,4,4,2,1
6,1500,1600,60,13,3.0,10,3.0,2,1,1,1
7,1500,1600,60,13,3.0,10,3.0,2,1,1,1
8,1500,1600,60,13,3.0,10,3.0,2,1,1,1
9,1500,1600,60,13,3.0,10,3.0,2,1,1,1
10,1500,1600,60,13,3.0,10,3.0,2,1,1,1
11,1500,1600,60,13,3.0,10,3.0,2,1,1,1
12,1500,1600,60,13,3.0,10,3.0,2,1,1,1
13,1500,1600,60,13,3.0,10,3.0,2,1,1,1
14,1500,1600,60,13,3.0,10,3.0,2,1,1,1
15,1500,1600,60,13,3.0,10,3.0,2,1,1,1
16,1500,1600,60,13,3.0,10,3.0,2,1,1,1
17,1500,1600,60,13,3.0,10,3.0,2,1,1,1
18,1500,1600,60,13,3.0,10,3.0,2,1,1,1
19,1500,1600,60,3,1.0,2,0.0,2,1,1,1
20,1500,1600,60,3,1.0,2,0.0,2,1,1,1
21,1500,1600,60,3,1.0,2,0.0,2,1,1,1
22,1500,1600,60,1,3.0,5,3.0,2,1,2,1
23,1500,1600,60,1,1.0,10,3.0,4,2,2,1
24,1500,1600,60,3,3.0,2,1.0,2,1,2,1
25,1500,1600,60,3,3.0,2,1.0,2,1,2,1
26,1500,1600,60,3,3.0,2,1.0,2,1,2,1
27,1500,1600,60,7,3.0,6,2.0,2,1,2,1
28,1500,1600,60,7,3.0,6,2.0,2,1,2,1
29,1500,1600,60,7,3.0,6,2.0,2,1,2,1
30,1500,1600,60,7,3.0,6,2.0,2,1,2,1
31,1500,1600,60,7,3.0,6,2.0,2,1,2,1
32,1500,1600,60,7,3.0,6,2.0,2,1,2,1
33,1500,1600,60,7,3.0,6,2.0,2,1,2,1
34,1500,1600,60,2,2.0,8,3.0,4,2,2,1
35,1500,1600,60,2,2.0,8,3.0,4,2,2,1
36,1500,1600,60,1,1.0,7,3.0,4,2,2,1
37,1500,1600,60,15,2.0,6,2.0,2,1,2,1
38,1500,1600,60,15,2.0,6,2.0,2,1,2,1
39,1500,1600,60,15,2.0,6,2.0,2,1,2,1
40,1500,1600,60,15,2.0,6,2.0,2,1,2,1
41,1500,1600,60,15,2.0,6,2.0,2,1,2,1
42,1500,1600,60,15,2.0,6,2.0,2,1,2,1
43,1500,1600,60,15,2.0,6,2.0,2,1,2,1
44,1500,1600,60,15,2.0,6,2.0,2,1,2,1
45,1500,1600,60,15,2.0,6,2.0,2,1,2,1
46,1500,1600,60,15,2.0,6,2.0,2,1,2,1
47,1500,1600,60,15,2.0,6,2.0,2,1,2,1
48,1500,1600,60,15,2.0,6,2.0,2,1,2,1
49,1500,1600,60,15,2.0,6,2.0,2,1,2,1
50,1500,1600,60,15,2.0,6,2.0,2,1,2,1
51,1500,1600,60,15,2.0,6,2.0,2,1,2,1
52,1500,1600,60,5,3.0,6,3.0,4,3,1,1
53,1500,1600,60,5,3.0,6,3.0,4,3,1,1
54,1500,1600,60,5,3.0,6,3.0,4,3,1,1
55,1500,1600,60,5,3.0,6,3.0,4,3,1,1
56,1500,1600,60,5,3.0,6,3.0,4,3,1,1
57,1500,1600,60,1,3.0,8,3.0,2,1,2,1
58,1500,1600,60,3,3.0,9,2.0,2,1,2,1
59,1500,1600,60,3,3.0,9,2.0,2,1,2,1
60,1500,1600,60,3,3.0,9,2.0,2,1,2,1
61,1500,1600,60,2,3.0,6,2.0,2,1,1,1
62,1500,1600,60,2,3.0,6,2.0,2,1,1,1
63,1500,1600,60,2,2.0,6,3.0,2,1,1,1
64,1500,1600,60,2,2.0,6,3.0,2,1,1,1
65,1500,1600,60,2,3.0,10,3.0,4,2,2,1
66,1500,1600,60,2,3.0,10,3.0,4,2,2,1
67,1500,1600,60,2,1.0,4,1.0,2,1,2,1
68,1500,1600,60,2,1.0,4,1.0,2,1,2,1
69,1500,1600,60,1,3.0,6,2.0,4,2,1,1
70,1500,1600,60,3,3.0,7,3.0,3,2,1,1
71,1500,1600,60,3,3.0,7,3.0,3,2,1,1
72,1500,1600,60,3,3.0,7,3.0,3,2,1,1
73,1500,1600,60,1,3.0,6,3.0,4,2,1,1
74,1500,1600,60,4,3.0,7,3.0,4,2,2,1
75,1500,1600,60,4,3.0,7,3.0,4,2,2,1
76,1500,1600,60,4,3.0,7,3.0,4,2,2,1
77,1500,1600,60,4,3.0,7,3.0,4,2,2,1
78,1500,1600,60,1,3.0,9,3.0,2,1,2,1
