,Unnamed: 0,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
7745,7745,2017000000954,100,200,60,1,3.0,6,1.0,5,3,1,9.06694,7.44349,2
4022,4022,2017000006164,100,200,60,1,3.0,6,1.0,4,2,2,9.07551,7.48167,2
7153,7153,2017000008274,100,200,60,1,2.0,5,1.0,5,2,1,9.07175,7.40296,2
6460,6460,2017000023137,100,200,60,1,3.0,7,2.0,5,1,1,9.08714,7.47733,2
2825,2825,2017000025181,100,200,60,1,2.0,6,1.0,4,2,1,9.07239,7.49055,2
8109,8109,2017000027188,100,200,60,1,2.0,6,1.0,5,2,2,9.07576,7.43018,2
7445,7445,2017000041466,100,200,60,1,3.0,5,1.0,5,2,2,9.11428,7.42153,2
4622,4622,2017000065925,100,200,60,1,3.0,6,3.0,2,1,1,9.0568,7.46549,2
2964,2964,2017000068209,100,200,60,1,2.0,6,2.0,4,2,1,9.08652,7.49147,2
356,356,2017000070041,100,200,60,1,2.0,4,1.0,5,2,2,9.0741,7.4515,2
6334,6334,2017000076156,100,200,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
6335,6335,2017000076156,100,200,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6336,6336,2017000076156,100,200,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
6339,6339,2017000076156,100,200,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6338,6338,2017000076156,100,200,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
6333,6333,2017000076156,100,200,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6337,6337,2017000076156,100,200,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6332,6332,2017000076156,100,200,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
7671,7671,2017000082350,100,200,60,1,2.0,4,2.0,4,2,1,9.07224,7.40448,2
8094,8094,2017000087534,100,200,60,1,1.0,7,2.0,5,2,1,8.98591,7.44547,2
7079,7079,2017000095056,100,200,60,2,3.0,7,1.0,5,2,1,9.02823,7.49753,2
7078,7078,2017000095056,100,200,60,2,3.0,7,1.0,5,2,1,9.02822,7.49753,2
7427,7427,2017000097643,100,200,60,1,2.0,6,1.0,5,2,2,9.02822,7.49753,2
4960,4960,2017000112469,100,200,60,2,3.0,5,3.0,4,2,2,9.05475,7.46755,2
4959,4959,2017000112469,100,200,60,2,3.0,5,3.0,4,2,2,9.05474,7.46755,2
4289,4289,2017000119690,100,200,60,2,3.0,5,2.0,5,2,1,9.03233,7.47146,2
4290,4290,2017000119690,100,200,60,2,3.0,5,2.0,5,2,1,9.03234,7.47146,2
3309,3309,2017000122501,100,200,60,1,3.0,8,3.0,4,2,1,9.07114,7.48524,2
1881,1881,2017000135646,100,200,60,2,3.0,7,3.0,4,1,1,9.04671,7.49441,2
1880,1880,2017000135646,100,200,60,2,3.0,7,3.0,4,1,1,9.0467,7.49441,2
6492,6492,2017000140559,100,200,60,1,2.0,6,2.0,5,2,2,9.08888,7.47989,2
7669,7669,2017000162046,100,200,60,1,3.0,6,2.0,5,2,2,9.1024,7.49433,2
4505,4505,2017000190927,100,200,60,2,3.0,7,3.0,4,2,1,9.06518,7.37984,2
4506,4506,2017000190927,100,200,60,2,3.0,7,3.0,4,2,1,9.06519,7.37984,2
7148,7148,2017000192210,100,200,60,6,2.0,5,2.0,3,2,1,9.08492,7.46055,2
7146,7146,2017000192210,100,200,60,6,2.0,5,2.0,3,2,1,9.08492,7.46055,2
7147,7147,2017000192210,100,200,60,6,2.0,5,2.0,3,2,1,9.08493,7.46055,2
7150,7150,2017000192210,100,200,60,6,2.0,5,2.0,3,2,1,9.08492,7.46055,2
7151,7151,2017000192210,100,200,60,6,2.0,5,2.0,3,2,1,9.08493,7.46055,2
7149,7149,2017000192210,100,200,60,6,2.0,5,2.0,3,2,1,9.08493,7.46055,2
4821,4821,2017000199216,100,200,60,1,3.0,7,2.0,4,2,1,9.02846,7.47815,2
6954,6954,2017000200502,100,200,60,1,2.0,5,2.0,4,2,1,9.0905,7.48394,2
7570,7570,2017000200926,100,200,60,2,1.0,3,1.0,4,1,1,9.02775,7.49495,2
7569,7569,2017000200926,100,200,60,2,1.0,3,1.0,4,1,1,9.02774,7.49495,2
5163,5163,2017000213837,100,200,60,1,2.0,4,1.0,3,1,1,9.07523,7.46814,2
5023,5023,2017000221776,100,200,60,1,3.0,7,3.0,2,1,1,8.95823,7.36845,2
5968,5968,2017000225707,100,200,60,1,1.0,6,2.0,4,2,1,9.04895,7.47441,2
552,552,2017000226910,100,200,60,1,1.0,6,2.0,4,1,1,9.08577,7.48127,2
5046,5046,2017000228099,100,200,60,2,3.0,8,2.0,5,2,1,8.97411,7.49017,2
5045,5045,2017000228099,100,200,60,2,3.0,8,2.0,5,2,1,8.9741,7.49017,2
1172,1172,2017000252029,100,200,60,1,3.0,8,3.0,2,1,1,9.06677,7.44075,2
