,Unnamed: 0,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
4166,4166,2017000000496,300,400,60,1,3.0,10,1.0,4,3,2,9.07222,7.45426,2
7745,7745,2017000000954,300,400,60,1,3.0,6,1.0,5,3,1,9.06694,7.44349,2
1664,1664,2017000003442,300,400,60,4,2.0,8,1.0,3,2,1,8.94911,7.26208,2
1662,1662,2017000003442,300,400,60,4,2.0,8,1.0,3,2,1,8.94911,7.26208,2
1661,1661,2017000003442,300,400,60,4,2.0,8,1.0,3,2,1,8.9491,7.26208,2
1663,1663,2017000003442,300,400,60,4,2.0,8,1.0,3,2,1,8.9491,7.26208,2
4022,4022,2017000006164,300,400,60,1,3.0,6,1.0,4,2,2,9.07551,7.48167,2
3854,3854,2017000007407,300,400,60,2,3.0,9,2.0,4,4,1,9.07947,7.50027,2
3853,3853,2017000007407,300,400,60,2,3.0,9,2.0,4,4,1,9.07946,7.50027,2
7153,7153,2017000008274,300,400,60,1,2.0,5,1.0,5,2,1,9.07175,7.40296,2
3873,3873,2017000009705,300,400,60,2,3.0,7,3.0,2,1,1,9.10245,7.48662,2
3872,3872,2017000009705,300,400,60,2,3.0,7,3.0,2,1,1,9.10244,7.48662,2
3757,3757,2017000010614,300,400,60,2,2.0,6,2.0,3,3,1,9.07112,7.40147,2
3758,3758,2017000010614,300,400,60,2,2.0,6,2.0,3,3,1,9.07113,7.40147,2
5831,5831,2017000013076,300,400,60,2,2.0,7,2.0,4,3,1,9.02981,7.5787,2
5830,5830,2017000013076,300,400,60,2,2.0,7,2.0,4,3,1,9.0298,7.5787,2
5734,5734,2017000017938,300,400,60,1,1.0,4,1.0,5,4,1,9.07654,7.44328,2
3529,3529,2017000018745,300,400,60,2,3.0,6,3.0,4,3,2,9.00286,7.56016,2
3530,3530,2017000018745,300,400,60,2,3.0,6,3.0,4,3,2,9.00287,7.56016,2
4788,4788,2017000021778,300,400,60,1,3.0,8,2.0,3,4,2,9.00125,7.45439,2
6460,6460,2017000023137,300,400,60,1,3.0,7,2.0,5,1,1,9.08714,7.47733,2
2825,2825,2017000025181,300,400,60,1,2.0,6,1.0,4,2,1,9.07239,7.49055,2
2852,2852,2017000026704,300,400,60,2,1.0,6,2.0,4,3,2,9.01602,7.4803,2
2853,2853,2017000026704,300,400,60,2,1.0,6,2.0,4,3,2,9.01603,7.4803,2
8109,8109,2017000027188,300,400,60,1,2.0,6,1.0,5,2,2,9.07576,7.43018,2
8221,8221,2017000028397,300,400,60,2,2.0,9,2.0,5,2,2,9.0467,7.49441,2
8222,8222,2017000028397,300,400,60,2,2.0,9,2.0,5,2,2,9.04671,7.49441,2
7419,7419,2017000031334,300,400,60,1,3.0,7,0.0,4,2,1,9.06604,7.3959,2
7188,7188,2017000031382,300,400,60,1,2.0,5,2.0,3,4,2,9.00304,7.56025,2
2922,2922,2017000032799,300,400,60,3,3.0,7,2.0,1,1,2,9.06584,7.42562,3
2923,2923,2017000032799,300,400,60,3,3.0,7,2.0,1,1,2,9.06583,7.42562,3
2921,2921,2017000032799,300,400,60,3,3.0,7,2.0,1,1,2,9.06583,7.42562,3
7760,7760,2017000033645,300,400,60,1,3.0,8,2.0,5,4,2,9.0314,7.47006,2
3222,3222,2017000040462,300,400,60,2,2.0,6,3.0,2,1,1,9.05036,7.49189,2
3223,3223,2017000040462,300,400,60,2,2.0,6,3.0,2,1,1,9.05037,7.49189,2
7445,7445,2017000041466,300,400,60,1,3.0,5,1.0,5,2,2,9.11428,7.42153,2
2512,2512,2017000045909,300,400,60,1,2.0,7,2.0,4,4,2,9.07128,7.46284,2
2046,2046,2017000048857,300,400,60,1,2.0,7,2.0,1,1,1,9.08228,7.48975,3
2211,2211,2017000049084,300,400,60,1,3.0,7,2.0,4,3,2,9.08652,7.49147,2
1877,1877,2017000054865,300,400,60,2,3.0,5,2.0,4,2,2,9.0507,7.45185,2
1876,1876,2017000054865,300,400,60,2,3.0,5,2.0,4,2,2,9.05069,7.45185,2
3892,3892,2017000055122,300,400,60,2,3.0,8,2.0,4,4,2,9.08676,7.4906,2
3891,3891,2017000055122,300,400,60,2,3.0,8,2.0,4,4,2,9.08675,7.4906,2
7754,7754,2017000056451,300,400,60,1,2.0,5,1.0,4,3,1,9.017,7.44139,2
2929,2929,2017000063093,300,400,60,2,3.0,6,2.0,4,4,2,9.03372,7.46939,2
2930,2930,2017000063093,300,400,60,2,3.0,6,2.0,4,4,2,9.03373,7.46939,2
7749,7749,2017000063503,300,400,60,1,2.0,6,2.0,4,3,1,9.06601,7.49304,2
4622,4622,2017000065925,300,400,60,1,3.0,6,3.0,2,1,1,9.0568,7.46549,2
2964,2964,2017000068209,300,400,60,1,2.0,6,2.0,4,2,1,9.08652,7.49147,2
5124,5124,2017000069439,300,400,60,1,3.0,5,2.0,4,4,1,9.00882,7.47166,2
356,356,2017000070041,300,400,60,1,2.0,4,1.0,5,2,2,9.0741,7.4515,2
8008,8008,2017000073577,300,400,60,1,3.0,6,0.0,4,2,1,9.10536,7.4245,2
4665,4665,2017000073728,300,400,60,1,3.0,7,3.0,4,3,2,9.03546,7.58156,2
6338,6338,2017000076156,300,400,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
6336,6336,2017000076156,300,400,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
6335,6335,2017000076156,300,400,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6334,6334,2017000076156,300,400,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
6333,6333,2017000076156,300,400,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6332,6332,2017000076156,300,400,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
6337,6337,2017000076156,300,400,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6339,6339,2017000076156,300,400,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
2931,2931,2017000078387,300,400,60,1,3.0,6,2.0,2,1,1,9.05399,7.47439,2
5972,5972,2017000079782,300,400,60,4,3.0,8,2.0,4,2,2,9.03211,7.46999,2
5973,5973,2017000079782,300,400,60,4,3.0,8,2.0,4,2,2,9.03212,7.46999,2
5974,5974,2017000079782,300,400,60,4,3.0,8,2.0,4,2,2,9.03211,7.46999,2
5975,5975,2017000079782,300,400,60,4,3.0,8,2.0,4,2,2,9.03212,7.46999,2
7671,7671,2017000082350,300,400,60,1,2.0,4,2.0,4,2,1,9.07224,7.40448,2
4597,4597,2017000082557,300,400,60,2,3.0,8,2.0,4,3,2,8.89031,7.24589,2
4596,4596,2017000082557,300,400,60,2,3.0,8,2.0,4,3,2,8.8903,7.24589,2
6674,6674,2017000084284,300,400,60,1,2.0,8,1.0,5,3,1,9.01715,7.47606,2
5949,5949,2017000086066,300,400,60,1,3.0,9,2.0,4,3,2,9.07576,7.43018,2
5575,5575,2017000087194,300,400,60,2,1.0,7,2.0,5,2,2,9.07224,7.40432,2
5576,5576,2017000087194,300,400,60,2,1.0,7,2.0,5,2,2,9.07225,7.40432,2
8094,8094,2017000087534,300,400,60,1,1.0,7,2.0,5,2,1,8.98591,7.44547,2
902,902,2017000092014,300,400,60,2,1.0,4,1.0,4,2,1,9.07235,7.48768,2
901,901,2017000092014,300,400,60,2,1.0,4,1.0,4,2,1,9.07234,7.48768,2
3022,3022,2017000092478,300,400,60,3,2.0,6,2.0,1,1,1,9.09543,7.49335,3
3024,3024,2017000092478,300,400,60,3,2.0,6,2.0,1,1,1,9.09543,7.49335,3
3023,3023,2017000092478,300,400,60,3,2.0,6,2.0,1,1,1,9.09544,7.49335,3
7079,7079,2017000095056,300,400,60,2,3.0,7,1.0,5,2,1,9.02823,7.49753,2
7078,7078,2017000095056,300,400,60,2,3.0,7,1.0,5,2,1,9.02822,7.49753,2
5554,5554,2017000095075,300,400,60,1,3.0,7,2.0,4,2,2,9.10244,7.48662,2
8178,8178,2017000095837,300,400,60,1,2.0,5,2.0,4,4,2,9.0741,7.4515,2
7427,7427,2017000097643,300,400,60,1,2.0,6,1.0,5,2,2,9.02822,7.49753,2
1904,1904,2017000099056,300,400,60,1,1.0,2,1.0,1,1,1,9.04293,7.50863,3
2258,2258,2017000101711,300,400,60,1,3.0,7,3.0,4,4,2,9.06902,7.45024,2
6730,6730,2017000103676,300,400,60,2,2.0,6,1.0,5,4,1,8.97709,7.36873,2
6729,6729,2017000103676,300,400,60,2,2.0,6,1.0,5,4,1,8.97708,7.36873,2
4960,4960,2017000112469,300,400,60,2,3.0,5,3.0,4,2,2,9.05475,7.46755,2
4959,4959,2017000112469,300,400,60,2,3.0,5,3.0,4,2,2,9.05474,7.46755,2
5951,5951,2017000114639,300,400,60,1,2.0,6,1.0,4,3,2,8.97346,7.18634,2
3325,3325,2017000115511,300,400,60,1,3.0,8,3.0,2,1,2,8.9491,7.26208,2
4290,4290,2017000119690,300,400,60,2,3.0,5,2.0,5,2,1,9.03234,7.47146,2
4289,4289,2017000119690,300,400,60,2,3.0,5,2.0,5,2,1,9.03233,7.47146,2
7345,7345,2017000121346,300,400,60,2,1.0,3,2.0,4,3,2,9.0507,7.45185,2
7344,7344,2017000121346,300,400,60,2,1.0,3,2.0,4,3,2,9.05069,7.45185,2
3309,3309,2017000122501,300,400,60,1,3.0,8,3.0,4,2,1,9.07114,7.48524,2
5302,5302,2017000123466,300,400,60,2,2.0,7,2.0,4,4,2,9.00957,7.45917,2
5303,5303,2017000123466,300,400,60,2,2.0,7,2.0,4,4,2,9.00958,7.45917,2
2248,2248,2017000126140,300,400,60,1,3.0,9,3.0,2,1,2,9.04048,7.46447,2
7563,7563,2017000126303,300,400,60,1,3.0,8,1.0,5,4,2,9.05204,7.46103,2
3634,3634,2017000127271,300,400,60,1,2.0,3,1.0,4,3,2,9.11428,7.42153,2
3594,3594,2017000130839,300,400,60,1,3.0,10,0.0,4,2,1,9.10536,7.4245,2
6939,6939,2017000134078,300,400,60,1,2.0,6,2.0,4,4,1,9.00125,7.45439,2
4962,4962,2017000134522,300,400,60,1,3.0,3,1.0,4,3,2,9.11428,7.42153,2
182,182,2017000134996,300,400,60,1,2.0,5,1.0,4,2,2,9.07179,7.48186,2
2227,2227,2017000135079,300,400,60,1,2.0,3,1.0,4,3,1,9.08366,7.46972,2
1880,1880,2017000135646,300,400,60,2,3.0,7,3.0,4,1,1,9.0467,7.49441,2
1881,1881,2017000135646,300,400,60,2,3.0,7,3.0,4,1,1,9.04671,7.49441,2
