,Unnamed: 0,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
7745,7745,2017000000954,200,300,60,1,3.0,6,1.0,5,3,1,9.06694,7.44349,2
4022,4022,2017000006164,200,300,60,1,3.0,6,1.0,4,2,2,9.07618,7.48042,2
7153,7153,2017000008274,200,300,60,1,2.0,5,1.0,5,2,1,9.07175,7.40296,2
3873,3873,2017000009705,200,300,60,2,3.0,7,3.0,2,1,1,9.10175,7.48955,2
3872,3872,2017000009705,200,300,60,2,3.0,7,3.0,2,1,1,9.10175,7.48955,2
3758,3758,2017000010614,200,300,60,2,2.0,6,2.0,3,3,1,9.06173,7.41872,2
3757,3757,2017000010614,200,300,60,2,2.0,6,2.0,3,3,1,9.06173,7.41872,2
5830,5830,2017000013076,200,300,60,2,2.0,7,2.0,4,3,1,9.0298,7.5787,2
5831,5831,2017000013076,200,300,60,2,2.0,7,2.0,4,3,1,9.02981,7.5787,2
3530,3530,2017000018745,200,300,60,2,3.0,6,3.0,4,3,2,9.00248,7.56392,2
3529,3529,2017000018745,200,300,60,2,3.0,6,3.0,4,3,2,9.00248,7.56392,2
6460,6460,2017000023137,200,300,60,1,3.0,7,2.0,5,1,1,9.08714,7.47733,2
2825,2825,2017000025181,200,300,60,1,2.0,6,1.0,4,2,1,9.07236,7.49044,2
8109,8109,2017000027188,200,300,60,1,2.0,6,1.0,5,2,2,9.07576,7.43018,2
8221,8221,2017000028397,200,300,60,2,2.0,9,2.0,5,2,2,9.0467,7.49441,2
8222,8222,2017000028397,200,300,60,2,2.0,9,2.0,5,2,2,9.04671,7.49441,2
7188,7188,2017000031382,200,300,60,1,2.0,5,2.0,3,4,2,9.00304,7.56025,2
3222,3222,2017000040462,200,300,60,2,2.0,6,3.0,2,1,1,9.05012,7.49227,2
3223,3223,2017000040462,200,300,60,2,2.0,6,3.0,2,1,1,9.05012,7.49227,2
7445,7445,2017000041466,200,300,60,1,3.0,5,1.0,5,2,2,9.11428,7.42153,2
1877,1877,2017000054865,200,300,60,2,3.0,5,2.0,4,2,2,9.05356,7.45213,2
1876,1876,2017000054865,200,300,60,2,3.0,5,2.0,4,2,2,9.05356,7.45213,2
7754,7754,2017000056451,200,300,60,1,2.0,5,1.0,4,3,1,9.017,7.44139,2
7749,7749,2017000063503,200,300,60,1,2.0,6,2.0,4,3,1,9.06601,7.49304,2
4622,4622,2017000065925,200,300,60,1,3.0,6,3.0,2,1,1,9.05628,7.46238,2
2964,2964,2017000068209,200,300,60,1,2.0,6,2.0,4,2,1,9.08715,7.49036,2
5124,5124,2017000069439,200,300,60,1,3.0,5,2.0,4,4,1,9.00935,7.47653,2
356,356,2017000070041,200,300,60,1,2.0,4,1.0,5,2,2,9.07336,7.453,2
4665,4665,2017000073728,200,300,60,1,3.0,7,3.0,4,3,2,9.02853,7.58288,2
6337,6337,2017000076156,200,300,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6332,6332,2017000076156,200,300,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
6339,6339,2017000076156,200,300,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6338,6338,2017000076156,200,300,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
6335,6335,2017000076156,200,300,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6336,6336,2017000076156,200,300,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
6333,6333,2017000076156,200,300,60,8,3.0,7,2.0,4,3,2,9.02853,7.48748,2
6334,6334,2017000076156,200,300,60,8,3.0,7,2.0,4,3,2,9.02852,7.48748,2
5975,5975,2017000079782,200,300,60,4,3.0,8,2.0,4,2,2,9.03212,7.46999,2
5972,5972,2017000079782,200,300,60,4,3.0,8,2.0,4,2,2,9.03211,7.46999,2
5973,5973,2017000079782,200,300,60,4,3.0,8,2.0,4,2,2,9.03212,7.46999,2
5974,5974,2017000079782,200,300,60,4,3.0,8,2.0,4,2,2,9.03211,7.46999,2
7671,7671,2017000082350,200,300,60,1,2.0,4,2.0,4,2,1,9.07224,7.40448,2
6674,6674,2017000084284,200,300,60,1,2.0,8,1.0,5,3,1,9.01715,7.47606,2
5576,5576,2017000087194,200,300,60,2,1.0,7,2.0,5,2,2,9.06497,7.44126,2
5575,5575,2017000087194,200,300,60,2,1.0,7,2.0,5,2,2,9.06497,7.44126,2
8094,8094,2017000087534,200,300,60,1,1.0,7,2.0,5,2,1,8.98591,7.44547,2
901,901,2017000092014,200,300,60,2,1.0,4,1.0,4,2,1,9.07129,7.48685,2
902,902,2017000092014,200,300,60,2,1.0,4,1.0,4,2,1,9.07129,7.48685,2
3022,3022,2017000092478,200,300,60,3,2.0,6,2.0,1,1,1,9.09748,7.49819,3
3023,3023,2017000092478,200,300,60,3,2.0,6,2.0,1,1,1,9.09748,7.49819,3
3024,3024,2017000092478,200,300,60,3,2.0,6,2.0,1,1,1,9.09748,7.49819,3
7079,7079,2017000095056,200,300,60,2,3.0,7,1.0,5,2,1,9.02823,7.49753,2
7078,7078,2017000095056,200,300,60,2,3.0,7,1.0,5,2,1,9.02822,7.49753,2
5554,5554,2017000095075,200,300,60,1,3.0,7,2.0,4,2,2,9.07856,7.49182,2
8178,8178,2017000095837,200,300,60,1,2.0,5,2.0,4,4,2,9.0741,7.4515,2
7427,7427,2017000097643,200,300,60,1,2.0,6,1.0,5,2,2,9.02822,7.49753,2
1904,1904,2017000099056,200,300,60,1,1.0,2,1.0,1,1,1,9.04284,7.50841,3
6729,6729,2017000103676,200,300,60,2,2.0,6,1.0,5,4,1,8.97708,7.36873,2
6730,6730,2017000103676,200,300,60,2,2.0,6,1.0,5,4,1,8.97709,7.36873,2
4960,4960,2017000112469,200,300,60,2,3.0,5,3.0,4,2,2,9.05403,7.46768,2
4959,4959,2017000112469,200,300,60,2,3.0,5,3.0,4,2,2,9.05403,7.46768,2
5951,5951,2017000114639,200,300,60,1,2.0,6,1.0,4,3,2,8.97346,7.18634,2
3325,3325,2017000115511,200,300,60,1,3.0,8,3.0,2,1,2,8.9589,7.24949,2
4289,4289,2017000119690,200,300,60,2,3.0,5,2.0,5,2,1,9.03232,7.47032,2
4290,4290,2017000119690,200,300,60,2,3.0,5,2.0,5,2,1,9.03232,7.47032,2
3309,3309,2017000122501,200,300,60,1,3.0,8,3.0,4,2,1,9.07116,7.48529,2
3634,3634,2017000127271,200,300,60,1,2.0,3,1.0,4,3,2,9.112,7.42145,2
6939,6939,2017000134078,200,300,60,1,2.0,6,2.0,4,4,1,9.00125,7.45439,2
4962,4962,2017000134522,200,300,60,1,3.0,3,1.0,4,3,2,9.112,7.42145,2
182,182,2017000134996,200,300,60,1,2.0,5,1.0,4,2,2,9.07147,7.48154,2
2227,2227,2017000135079,200,300,60,1,2.0,3,1.0,4,3,1,9.08283,7.46841,2
1880,1880,2017000135646,200,300,60,2,3.0,7,3.0,4,1,1,9.04677,7.49539,2
1881,1881,2017000135646,200,300,60,2,3.0,7,3.0,4,1,1,9.04677,7.49539,2
6492,6492,2017000140559,200,300,60,1,2.0,6,2.0,5,2,2,9.08888,7.47989,2
3910,3910,2017000140861,200,300,60,1,3.0,6,1.0,4,3,2,9.04519,7.48563,2
3714,3714,2017000151555,200,300,60,3,3.0,7,1.0,1,1,1,9.06357,7.47179,3
3715,3715,2017000151555,200,300,60,3,3.0,7,1.0,1,1,1,9.06357,7.47179,3
3713,3713,2017000151555,200,300,60,3,3.0,7,1.0,1,1,1,9.06357,7.47179,3
4833,4833,2017000152897,200,300,60,1,3.0,7,0.0,4,1,1,9.08425,7.48517,2
4002,4002,2017000157225,200,300,60,1,2.0,5,1.0,4,3,2,9.10175,7.48955,2
2169,2169,2017000157463,200,300,60,2,2.0,8,3.0,3,3,1,9.05137,7.508,2
2170,2170,2017000157463,200,300,60,2,2.0,8,3.0,3,3,1,9.05137,7.508,2
7669,7669,2017000162046,200,300,60,1,3.0,6,2.0,5,2,2,9.1024,7.49433,2
7646,7646,2017000165064,200,300,60,1,1.0,5,1.0,5,2,2,9.04313,7.53078,2
3947,3947,2017000176897,200,300,60,1,2.0,5,1.0,4,5,2,9.08343,7.47898,2
4505,4505,2017000190927,200,300,60,2,3.0,7,3.0,4,2,1,9.04192,7.3931,2
