,Unnamed: 0,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
6460,6460,2017000023137,1400,1500,60,1,3.0,7,2.0,5,1,1,9.08714,7.47733,2
4622,4622,2017000065925,1400,1500,60,1,3.0,6,3.0,2,1,1,9.0568,7.46549,2
2964,2964,2017000068209,1400,1500,60,1,2.0,6,2.0,4,2,1,9.08652,7.49147,2
5124,5124,2017000069439,1400,1500,60,1,3.0,5,2.0,4,4,1,9.00882,7.47166,2
4665,4665,2017000073728,1400,1500,60,1,3.0,7,3.0,4,3,2,9.03546,7.58156,2
2258,2258,2017000101711,1400,1500,60,1,3.0,7,3.0,4,4,2,9.06902,7.45024,2
3309,3309,2017000122501,1400,1500,60,1,3.0,8,3.0,4,2,1,9.07114,7.48524,2
4821,4821,2017000199216,1400,1500,60,1,3.0,7,2.0,4,2,1,9.02846,7.47815,2
6954,6954,2017000200502,1400,1500,60,1,2.0,5,2.0,4,2,1,9.0905,7.48394,2
4953,4953,2017000212804,1400,1500,60,1,3.0,5,3.0,3,3,1,9.06343,7.45897,2
5023,5023,2017000221776,1400,1500,60,1,3.0,7,3.0,2,1,1,8.95823,7.36845,2
7425,7425,2017000222248,1400,1500,60,1,3.0,5,2.0,4,3,1,9.07499,7.43255,2
1777,1777,2017000222353,1400,1500,60,1,3.0,7,3.0,4,3,2,9.07917,7.49092,2
552,552,2017000226910,1400,1500,60,1,1.0,6,2.0,4,1,1,9.08577,7.48127,2
7999,7999,2017000227872,1400,1500,60,1,2.0,4,2.0,4,3,1,8.91553,7.26149,2
23,23,2017000247487,1400,1500,60,1,1.0,10,3.0,4,2,2,9.05983,7.50052,2
1172,1172,2017000252029,1400,1500,60,1,3.0,8,3.0,2,1,1,9.06677,7.44075,2
3517,3517,2017000254367,1400,1500,60,1,3.0,7,3.0,4,2,2,9.08675,7.4906,2
7937,7937,2017000254386,1400,1500,60,1,3.0,6,2.0,4,3,1,9.03921,7.41207,2
3181,3181,2017000277015,1400,1500,60,1,3.0,6,3.0,2,1,1,9.06745,7.46525,2
4254,4254,2017000285301,1400,1500,60,1,3.0,10,3.0,4,4,1,9.03714,7.58008,2
2855,2855,2017000294676,1400,1500,60,1,3.0,9,3.0,4,2,1,9.08898,7.47854,2
1052,1052,2017000297086,1400,1500,60,1,3.0,8,3.0,4,3,1,9.03921,7.41207,2
243,243,2017000312961,1400,1500,60,1,3.0,7,3.0,2,1,1,8.96868,7.43814,2
2189,2189,2017000356281,1400,1500,60,1,3.0,8,3.0,4,4,2,9.01531,7.49134,2
