,Unnamed: 0,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
4166,4166,2017000000496,1000,1100,60,1,3.0,10,1.0,4,3,2,9.1422,7.36924,2
7745,7745,2017000000954,1000,1100,60,1,3.0,6,1.0,5,3,1,9.1422,7.36924,2
6047,6047,2017000002261,1000,1100,60,2,2.0,8,0.0,4,2,1,9.07851,7.47445,6
6046,6046,2017000002261,1000,1100,60,2,2.0,8,0.0,4,2,1,9.07851,7.47445,6
4799,4799,2017000002716,1000,1100,60,2,3.0,8,2.0,2,1,1,9.07851,7.47445,6
4798,4798,2017000002716,1000,1100,60,2,3.0,8,2.0,2,1,1,9.07851,7.47445,6
1664,1664,2017000003442,1000,1100,60,4,2.0,8,1.0,3,2,1,9.07851,7.47445,6
1663,1663,2017000003442,1000,1100,60,4,2.0,8,1.0,3,2,1,9.07851,7.47445,6
1662,1662,2017000003442,1000,1100,60,4,2.0,8,1.0,3,2,1,9.07851,7.47445,6
1661,1661,2017000003442,1000,1100,60,4,2.0,8,1.0,3,2,1,9.07851,7.47445,6
4022,4022,2017000006164,1000,1100,60,1,3.0,6,1.0,4,2,2,9.1422,7.36924,2
3854,3854,2017000007407,1000,1100,60,2,3.0,9,2.0,4,4,1,9.1422,7.36924,2
3853,3853,2017000007407,1000,1100,60,2,3.0,9,2.0,4,4,1,9.1422,7.36924,2
9323,9323,2017000007825,1000,1100,60,1,1.0,4,0.0,5,2,2,9.03328,7.49891,5
7153,7153,2017000008274,1000,1100,60,1,2.0,5,1.0,5,2,1,9.1422,7.36924,2
3873,3873,2017000009705,1000,1100,60,2,3.0,7,3.0,2,1,1,9.1422,7.36924,2
3872,3872,2017000009705,1000,1100,60,2,3.0,7,3.0,2,1,1,9.1422,7.36924,2
3758,3758,2017000010614,1000,1100,60,2,2.0,6,2.0,3,3,1,9.1422,7.36924,2
3757,3757,2017000010614,1000,1100,60,2,2.0,6,2.0,3,3,1,9.1422,7.36924,2
8129,8129,2017000012735,1000,1100,60,1,2.0,4,0.0,5,2,1,9.03328,7.49891,5
5831,5831,2017000013076,1000,1100,60,2,2.0,7,2.0,4,3,1,9.1422,7.36924,2
5830,5830,2017000013076,1000,1100,60,2,2.0,7,2.0,4,3,1,9.1422,7.36924,2
7139,7139,2017000013654,1000,1100,60,1,2.0,4,0.0,5,2,1,9.03328,7.49891,5
4745,4745,2017000014114,1000,1100,60,1,2.0,5,0.0,4,2,2,9.03328,7.49891,5
3252,3252,2017000014315,1000,1100,60,1,3.0,6,2.0,2,1,2,9.1422,7.36924,2
9870,9870,2017000017688,1000,1100,60,1,2.0,3,0.0,4,2,1,9.03328,7.49891,5
3530,3530,2017000018745,1000,1100,60,2,3.0,6,3.0,4,3,2,9.1422,7.36924,2
3529,3529,2017000018745,1000,1100,60,2,3.0,6,3.0,4,3,2,9.1422,7.36924,2
9382,9382,2017000020709,1000,1100,60,1,1.0,5,0.0,5,3,2,9.03328,7.49891,5
4788,4788,2017000021778,1000,1100,60,1,3.0,8,2.0,3,4,2,9.1422,7.36924,2
6460,6460,2017000023137,1000,1100,60,1,3.0,7,2.0,5,1,1,9.1422,7.36924,2
2825,2825,2017000025181,1000,1100,60,1,2.0,6,1.0,4,2,1,9.1422,7.36924,2
2853,2853,2017000026704,1000,1100,60,2,1.0,6,2.0,4,3,2,9.1422,7.36924,2
2852,2852,2017000026704,1000,1100,60,2,1.0,6,2.0,4,3,2,9.1422,7.36924,2
8109,8109,2017000027188,1000,1100,60,1,2.0,6,1.0,5,2,2,9.03328,7.49891,5
8221,8221,2017000028397,1000,1100,60,2,2.0,9,2.0,5,2,2,9.1422,7.36924,2
8222,8222,2017000028397,1000,1100,60,2,2.0,9,2.0,5,2,2,9.1422,7.36924,2
7419,7419,2017000031334,1000,1100,60,1,3.0,7,0.0,4,2,1,9.03328,7.49891,5
7188,7188,2017000031382,1000,1100,60,1,2.0,5,2.0,3,4,2,9.1422,7.36924,2
2922,2922,2017000032799,1000,1100,60,3,3.0,7,2.0,1,1,2,9.07851,7.47445,6
2923,2923,2017000032799,1000,1100,60,3,3.0,7,2.0,1,1,2,9.07851,7.47445,6
2921,2921,2017000032799,1000,1100,60,3,3.0,7,2.0,1,1,2,9.07851,7.47445,6
7760,7760,2017000033645,1000,1100,60,1,3.0,8,2.0,5,4,2,9.1422,7.36924,2
7101,7101,2017000034464,1000,1100,60,2,2.0,7,0.0,4,3,2,9.07851,7.47445,6
7100,7100,2017000034464,1000,1100,60,2,2.0,7,0.0,4,3,2,9.07851,7.47445,6
321,321,2017000036514,1000,1100,60,7,3.0,7,1.0,2,1,2,9.07851,7.47445,6
315,315,2017000036514,1000,1100,60,7,3.0,7,1.0,2,1,2,9.07851,7.47445,6
316,316,2017000036514,1000,1100,60,7,3.0,7,1.0,2,1,2,9.07851,7.47445,6
317,317,2017000036514,1000,1100,60,7,3.0,7,1.0,2,1,2,9.07851,7.47445,6
318,318,2017000036514,1000,1100,60,7,3.0,7,1.0,2,1,2,9.07851,7.47445,6
320,320,2017000036514,1000,1100,60,7,3.0,7,1.0,2,1,2,9.07851,7.47445,6
319,319,2017000036514,1000,1100,60,7,3.0,7,1.0,2,1,2,9.07851,7.47445,6
7241,7241,2017000039040,1000,1100,60,2,2.0,2,0.0,5,2,1,9.03328,7.49891,5
7242,7242,2017000039040,1000,1100,60,2,2.0,2,0.0,5,2,1,9.03328,7.49891,5
3223,3223,2017000040462,1000,1100,60,2,2.0,6,3.0,2,1,1,9.1422,7.36924,2
3222,3222,2017000040462,1000,1100,60,2,2.0,6,3.0,2,1,1,9.1422,7.36924,2
7445,7445,2017000041466,1000,1100,60,1,3.0,5,1.0,5,2,2,9.03328,7.49891,5
3785,3785,2017000042488,1000,1100,60,1,2.0,6,2.0,2,1,2,9.1422,7.36924,2
2512,2512,2017000045909,1000,1100,60,1,2.0,7,2.0,4,4,2,9.1422,7.36924,2
2046,2046,2017000048857,1000,1100,60,1,2.0,7,2.0,1,1,1,9.1422,7.36924,2
2211,2211,2017000049084,1000,1100,60,1,3.0,7,2.0,4,3,2,9.1422,7.36924,2
1876,1876,2017000054865,1000,1100,60,2,3.0,5,2.0,4,2,2,9.1422,7.36924,2
1877,1877,2017000054865,1000,1100,60,2,3.0,5,2.0,4,2,2,9.1422,7.36924,2
3891,3891,2017000055122,1000,1100,60,2,3.0,8,2.0,4,4,2,9.1422,7.36924,2
3892,3892,2017000055122,1000,1100,60,2,3.0,8,2.0,4,4,2,9.1422,7.36924,2
7754,7754,2017000056451,1000,1100,60,1,2.0,5,1.0,4,3,1,9.1422,7.36924,2
8159,8159,2017000056681,1000,1100,60,1,1.0,6,0.0,5,2,1,9.03328,7.49891,5
2857,2857,2017000060829,1000,1100,60,3,2.0,6,0.0,4,3,1,9.07851,7.47445,6
2858,2858,2017000060829,1000,1100,60,3,2.0,6,0.0,4,3,1,9.07851,7.47445,6
2859,2859,2017000060829,1000,1100,60,3,2.0,6,0.0,4,3,1,9.07851,7.47445,6
2929,2929,2017000063093,1000,1100,60,2,3.0,6,2.0,4,4,2,9.1422,7.36924,2
2930,2930,2017000063093,1000,1100,60,2,3.0,6,2.0,4,4,2,9.1422,7.36924,2
