,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
0,2020HU0853695,800,900,60,3,0.0,10,0.0,5,3,2,9.14997,7.35501,6
1,2020HU0853695,800,900,60,3,0.0,10,0.0,5,3,2,9.14998,7.35501,6
2,2020HU0853695,800,900,60,3,0.0,10,0.0,5,3,2,9.14997,7.35501,6
3,2018HU0270440,800,900,60,2,3.0,10,3.0,4,1,2,9.04468,7.47364,2
4,2018HU0270440,800,900,60,2,3.0,10,3.0,4,1,2,9.04469,7.47364,2
5,2019HU0849555,800,900,60,1,3.0,8,3.0,4,4,2,9.0914,7.49876,2
6,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,3
7,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,3
8,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,3
9,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,3
10,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,3
11,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,3
12,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,3
13,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,3
14,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,3
15,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,3
16,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,3
17,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11565,7.45543,3
18,2021HU1200690,800,900,60,13,3.0,10,3.0,2,1,1,9.11564,7.45543,3
19,2021HU0273780,800,900,60,3,1.0,2,0.0,2,1,1,9.07494,7.39688,3
20,2021HU0273780,800,900,60,3,1.0,2,0.0,2,1,1,9.07495,7.39688,3
21,2021HU0273780,800,900,60,3,1.0,2,0.0,2,1,1,9.07494,7.39688,3
22,2020HU0628820,800,900,60,1,3.0,5,3.0,2,1,2,9.08138,7.48416,2
23,2017000247487,800,900,60,1,1.0,10,3.0,4,2,2,9.05983,7.50052,2
24,2018HU0278218,800,900,60,3,3.0,2,1.0,2,1,2,9.11721,7.40618,3
25,2018HU0278218,800,900,60,3,3.0,2,1.0,2,1,2,9.11722,7.40618,3
26,2018HU0278218,800,900,60,3,3.0,2,1.0,2,1,2,9.11721,7.40618,3
27,2017000738034,800,900,60,7,3.0,6,2.0,2,1,2,9.00739,7.47,3
28,2017000738034,800,900,60,7,3.0,6,2.0,2,1,2,9.007399999999999,7.47,3
29,2017000738034,800,900,60,7,3.0,6,2.0,2,1,2,9.00739,7.47,3
30,2017000738034,800,900,60,7,3.0,6,2.0,2,1,2,9.007399999999999,7.47,3
31,2017000738034,800,900,60,7,3.0,6,2.0,2,1,2,9.00739,7.47,3
32,2017000738034,800,900,60,7,3.0,6,2.0,2,1,2,9.007399999999999,7.47,3
33,2017000738034,800,900,60,7,3.0,6,2.0,2,1,2,9.00739,7.47,3
34,2019HU0071859,800,900,60,2,2.0,8,3.0,4,2,2,8.98591,7.44547,2
35,2019HU0071859,800,900,60,2,2.0,8,3.0,4,2,2,8.98592,7.44547,2
36,2021HU0983782,800,900,60,1,1.0,7,3.0,4,2,2,9.07789,7.47146,2
37,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.0568,7.46549,3
38,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.05681,7.46549,3
39,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.0568,7.46549,3
40,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.05681,7.46549,3
41,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.0568,7.46549,3
42,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.05681,7.46549,3
43,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.0568,7.46549,3
44,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.05681,7.46549,3
45,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.0568,7.46549,3
46,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.05681,7.46549,3
47,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.0568,7.46549,3
48,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.05681,7.46549,3
49,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.0568,7.46549,3
50,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.05681,7.46549,3
51,2021HU0343140,800,900,60,15,2.0,6,2.0,2,1,2,9.0568,7.46549,3
52,2018HU1163183,800,900,60,5,3.0,6,3.0,4,3,1,9.00304,7.56025,2
53,2018HU1163183,800,900,60,5,3.0,6,3.0,4,3,1,9.00305,7.56025,2
54,2018HU1163183,800,900,60,5,3.0,6,3.0,4,3,1,9.00304,7.56025,2
55,2018HU1163183,800,900,60,5,3.0,6,3.0,4,3,1,9.00305,7.56025,2
56,2018HU1163183,800,900,60,5,3.0,6,3.0,4,3,1,9.00304,7.56025,2
57,2018HU1266042,800,900,60,1,3.0,8,3.0,2,1,2,8.9741,7.49017,2
58,2018HU0510879,800,900,60,3,3.0,9,2.0,2,1,2,9.07497,7.43258,3
59,2018HU0510879,800,900,60,3,3.0,9,2.0,2,1,2,9.07498,7.43258,3
60,2018HU0510879,800,900,60,3,3.0,9,2.0,2,1,2,9.07497,7.43258,3
61,2019HU0226332,800,900,60,2,3.0,6,2.0,2,1,1,9.04521,7.40591,3
62,2019HU0226332,800,900,60,2,3.0,6,2.0,2,1,1,9.04522,7.40591,3
63,2017000515932,800,900,60,2,2.0,6,3.0,2,1,1,9.07114,7.48524,2
64,2017000515932,800,900,60,2,2.0,6,3.0,2,1,1,9.07115,7.48524,2
65,2020HU0378270,800,900,60,2,3.0,10,3.0,4,2,2,9.03061,7.502,2
66,2020HU0378270,800,900,60,2,3.0,10,3.0,4,2,2,9.030619999999999,7.502,2
67,2020HU1124512,800,900,60,2,1.0,4,1.0,2,1,2,8.96854,7.46456,3
68,2020HU1124512,800,900,60,2,1.0,4,1.0,2,1,2,8.96855,7.46456,3
69,2017001328840,800,900,60,1,3.0,6,2.0,4,2,1,9.08081,7.43103,2
70,2017000831008,800,900,60,3,3.0,7,3.0,3,2,1,9.07398,7.40382,2
71,2017000831008,800,900,60,3,3.0,7,3.0,3,2,1,9.07399,7.40382,2
72,2017000831008,800,900,60,3,3.0,7,3.0,3,2,1,9.07398,7.40382,2
73,2019HU0600756,800,900,60,1,3.0,6,3.0,4,2,1,9.0372,7.48506,2
74,2021HU0400507,800,900,60,4,3.0,7,3.0,4,2,2,9.00009,7.42591,2
75,2021HU0400507,800,900,60,4,3.0,7,3.0,4,2,2,9.0001,7.42591,2
76,2021HU0400507,800,900,60,4,3.0,7,3.0,4,2,2,9.00009,7.42591,2
77,2021HU0400507,800,900,60,4,3.0,7,3.0,4,2,2,9.0001,7.42591,2
78,2018HU0815113,800,900,60,1,3.0,9,3.0,2,1,2,8.96609,7.38186,2
79,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07576,7.43018,3
80,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07577,7.43018,3
81,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07576,7.43018,3
82,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07577,7.43018,3
83,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07576,7.43018,3
84,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07577,7.43018,3
85,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07576,7.43018,3
86,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07577,7.43018,3
87,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07576,7.43018,3
88,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07577,7.43018,3
89,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07576,7.43018,3
90,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07577,7.43018,3
91,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07576,7.43018,3
92,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07577,7.43018,3
93,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07576,7.43018,3
94,2020HU0635187,800,900,60,16,2.0,10,3.0,2,1,2,9.07577,7.43018,3
95,2020HU0766721,800,900,60,2,0.0,10,3.0,4,1,1,9.06568,7.46812,2
96,2020HU0766721,800,900,60,2,0.0,10,3.0,4,1,1,9.06569,7.46812,2
97,2020HU1129731,800,900,60,10,3.0,6,3.0,2,1,1,8.97346,7.18634,3
98,2020HU1129731,800,900,60,10,3.0,6,3.0,2,1,1,8.973469999999999,7.18634,3
